"provenance","sequence","local_unix_seconds","artifact","author","input","input_raw","output","output_raw","receipt_digest","before_entry"
"UNSIGNED LOCAL REHEARSAL","8","1788642340","1","you","ETH","100000000000000000","AUR","996006981039903216493","0xcd831677127bef02caaa288b2a91357f4bb19a4b60d30cc0be5686b411776f43","1"
"UNSIGNED LOCAL REHEARSAL","13","1788642340","1","you","ETH","100000000000000000","AUR","994021919267126764344","0x81a28a9e59898e4fcb3b2229ae77b40f55f25dd7fb5108ddad8d1be33b25d981",""
